dataset.num,Confounding Strength,Confounding Source,Impact Heterogeneity,Idiosyncrasy of Impacts,variable,level,year,id.practice,SATT
0001,Strong,Scenario A,Large,Large,Overall,NA,NA,NA,-2.295728887267943
0001,Strong,Scenario A,Large,Large,X1,0,NA,NA,-3.512930739648928
0001,Strong,Scenario A,Large,Large,X1,1,NA,NA,-1.3446387795028942
0001,Strong,Scenario A,Large,Large,X2,A,NA,NA,2.500634177919604
0001,Strong,Scenario A,Large,Large,X2,B,NA,NA,-10.576560824741652
0001,Strong,Scenario A,Large,Large,X2,C,NA,NA,2.01976615130997
0001,Strong,Scenario A,Large,Large,X3,0,NA,NA,15.235514846539322
0001,Strong,Scenario A,Large,Large,X3,1,NA,NA,-18.02542123817516
0001,Strong,Scenario A,Large,Large,X4,A,NA,NA,1.6331874657230026
0001,Strong,Scenario A,Large,Large,X4,B,NA,NA,-18.595419872141044
0001,Strong,Scenario A,Large,Large,X4,C,NA,NA,-4.445112620126858
0001,Strong,Scenario A,Large,Large,X5,0,NA,NA,-9.814740246367409
0001,Strong,Scenario A,Large,Large,X5,1,NA,NA,5.56438418435977
0001,Strong,Scenario A,Large,Large,Yearly,NA,3,NA,-7.0560051044795635
0001,Strong,Scenario A,Large,Large,Yearly,NA,4,NA,2.470923280776753
0001,Strong,Scenario A,Large,Large,NA,NA,NA,1,52.04915078150606
0001,Strong,Scenario A,Large,Large,NA,NA,NA,2,36.88871536250944
0001,Strong,Scenario A,Large,Large,NA,NA,NA,9,12.474683329546833
0001,Strong,Scenario A,Large,Large,NA,NA,NA,12,91.41405567700782
0001,Strong,Scenario A,Large,Large,NA,NA,NA,14,-4.439384102508607
0001,Strong,Scenario A,Large,Large,NA,NA,NA,15,101.13281720308147
0001,Strong,Scenario A,Large,Large,NA,NA,NA,16,68.8154487574408
0001,Strong,Scenario A,Large,Large,NA,NA,NA,17,-37.33048850161514
0001,Strong,Scenario A,Large,Large,NA,NA,NA,22,-20.806179503085215
0001,Strong,Scenario A,Large,Large,NA,NA,NA,24,15.799916572020866
0001,Strong,Scenario A,Large,Large,NA,NA,NA,27,-12.88932425974259
0001,Strong,Scenario A,Large,Large,NA,NA,NA,28,35.074864512567935
0001,Strong,Scenario A,Large,Large,NA,NA,NA,29,90.5465972224169
0001,Strong,Scenario A,Large,Large,NA,NA,NA,32,-59.74770062589453
0001,Strong,Scenario A,Large,Large,NA,NA,NA,34,-10.528750602243012
0001,Strong,Scenario A,Large,Large,NA,NA,NA,35,12.645508920963275
0001,Strong,Scenario A,Large,Large,NA,NA,NA,36,59.94405952848634
0001,Strong,Scenario A,Large,Large,NA,NA,NA,38,-36.521900592479625
0001,Strong,Scenario A,Large,Large,NA,NA,NA,39,38.729961207362614
0001,Strong,Scenario A,Large,Large,NA,NA,NA,42,39.89215591085186
0001,Strong,Scenario A,Large,Large,NA,NA,NA,44,-52.089002832975176
0001,Strong,Scenario A,Large,Large,NA,NA,NA,47,-38.232171814735736
0001,Strong,Scenario A,Large,Large,NA,NA,NA,48,23.013263943077085
0001,Strong,Scenario A,Large,Large,NA,NA,NA,49,-46.33199154606092
0001,Strong,Scenario A,Large,Large,NA,NA,NA,52,12.98439624421822
0001,Strong,Scenario A,Large,Large,NA,NA,NA,53,-92.33557799905104
0001,Strong,Scenario A,Large,Large,NA,NA,NA,59,-8.722045328659323
0001,Strong,Scenario A,Large,Large,NA,NA,NA,60,-31.83475425152149
0001,Strong,Scenario A,Large,Large,NA,NA,NA,65,-31.52677631784158
0001,Strong,Scenario A,Large,Large,NA,NA,NA,66,-9.343586710582747
0001,Strong,Scenario A,Large,Large,NA,NA,NA,67,-85.67600421638888
0001,Strong,Scenario A,Large,Large,NA,NA,NA,71,-23.42852314342944
0001,Strong,Scenario A,Large,Large,NA,NA,NA,72,-28.30997805725683
0001,Strong,Scenario A,Large,Large,NA,NA,NA,73,-10.308214819509637
0001,Strong,Scenario A,Large,Large,NA,NA,NA,75,6.596387908368326
0001,Strong,Scenario A,Large,Large,NA,NA,NA,78,11.079439249627823
0001,Strong,Scenario A,Large,Large,NA,NA,NA,80,-59.50396578865407
0001,Strong,Scenario A,Large,Large,NA,NA,NA,81,22.237328865175503
0001,Strong,Scenario A,Large,Large,NA,NA,NA,83,-25.95951174865654
0001,Strong,Scenario A,Large,Large,NA,NA,NA,85,44.75421928041412
0001,Strong,Scenario A,Large,Large,NA,NA,NA,87,93.32917605200949
0001,Strong,Scenario A,Large,Large,NA,NA,NA,88,20.401392499545505
0001,Strong,Scenario A,Large,Large,NA,NA,NA,89,-9.64626739144126
0001,Strong,Scenario A,Large,Large,NA,NA,NA,90,-2.521243942024768
0001,Strong,Scenario A,Large,Large,NA,NA,NA,91,-5.413018709553139
