id.practice,year,Y,Z,post,n.patients,V1_avg,V2_avg,V3_avg,V4_avg,V5_A_avg,V5_B_avg,V5_C_avg
1,1,1018.8815479518994,1,0,113,10.808,2.92,0.54,0.298,0.69,0.274,0.035
1,2,1607.135853170745,1,0,109,10.768,2.872,0.532,0.274,0.706,0.266,0.028
1,3,1245.212987287806,1,1,121,10.896,2.868,0.529,0.185,0.727,0.231,0.041
1,4,1684.8206194017596,1,1,131,10.55,2.718,0.542,0.12,0.702,0.26,0.038
2,1,827.5277067021723,1,0,264,11.981,2.947,0.53,-0.116,0.716,0.159,0.125
2,2,1021.4573676657315,1,0,257,11.988,2.899,0.525,-0.113,0.732,0.144,0.125
2,3,1123.4872562782978,1,1,311,11.973,2.859,0.489,-0.142,0.723,0.161,0.116
2,4,997.6450506751368,1,1,302,12.021,2.904,0.487,-0.219,0.738,0.152,0.109
3,1,1070.844382669363,0,0,1309,10.95,3.045,0.588,0.341,0.592,0.312,0.095
3,2,1153.487468204787,0,0,1342,11.034,3.061,0.581,0.302,0.576,0.325,0.099
3,3,1298.2109300260868,0,1,1352,11.099,3.067,0.57,0.233,0.587,0.316,0.098
3,4,1399.9469232434444,0,1,1384,11.072,3.067,0.56,0.157,0.597,0.307,0.096
4,1,696.7690500576555,0,0,921,11.468,2.927,0.547,0.043,0.764,0.145,0.09
4,2,1081.009283558618,0,0,939,11.474,2.921,0.529,0.039,0.77,0.145,0.085
4,3,1149.0423633174003,0,1,919,11.563,2.902,0.531,0.045,0.765,0.146,0.089
4,4,1332.824347823223,0,1,883,11.618,2.865,0.525,0.008,0.755,0.151,0.094
5,1,1238.511721724646,0,0,186,11.138,2.898,0.608,0.251,0.72,0.188,0.091
5,2,1136.5399476646824,0,0,186,11.187,2.812,0.602,0.241,0.715,0.188,0.097
5,3,1500.7025814552285,0,1,177,11.041,2.825,0.61,0.254,0.74,0.164,0.096
5,4,2089.1649111333754,0,1,164,10.961,2.872,0.628,0.256,0.756,0.159,0.085
6,1,607.2307969443541,0,0,249,12.171,3.072,0.45,-0.401,0.839,0.137,0.024
6,2,749.4723753922976,0,0,250,12.202,3.116,0.468,-0.349,0.84,0.136,0.024
6,3,841.6929556819442,0,1,248,11.984,3.073,0.496,-0.304,0.839,0.141,0.02
6,4,806.6966927065874,0,1,240,11.915,3.092,0.517,-0.286,0.829,0.154,0.017
7,1,725.0025479003692,0,0,1252,12.16,2.97,0.469,-0.353,0.759,0.208,0.034
7,2,950.4403405650085,0,0,1187,12.116,2.944,0.478,-0.329,0.759,0.206,0.035
7,3,1033.2177986897539,0,1,1191,12.129,2.937,0.485,-0.319,0.757,0.203,0.04
7,4,1075.7123832051855,0,1,1146,12.02,2.949,0.488,-0.282,0.748,0.209,0.043
8,1,671.6352285470409,0,0,677,11.529,2.876,0.527,0.088,0.49,0.341,0.168
8,2,865.9899004364355,0,0,665,11.574,2.856,0.537,0.092,0.489,0.343,0.168
8,3,1143.592114548486,0,1,654,11.617,2.891,0.544,0.084,0.494,0.338,0.168
8,4,1329.7907553257544,0,1,654,11.515,2.861,0.532,0.035,0.508,0.333,0.159
9,1,704.9221313611868,1,0,446,11.822,3.067,0.511,-0.237,0.704,0.195,0.101
9,2,804.6208761845157,1,0,436,11.628,3.018,0.507,-0.214,0.695,0.202,0.103
9,3,998.0874944878819,1,1,454,11.594,3.035,0.502,-0.206,0.705,0.196,0.099
9,4,1115.3634609161163,1,1,452,11.613,3.007,0.5,-0.223,0.719,0.188,0.093
10,1,635.2984905244792,0,0,188,11.89,2.803,0.511,0.128,0.596,0.239,0.165
10,2,844.580148705051,0,0,197,11.75,2.812,0.513,0.126,0.614,0.223,0.162
10,3,1179.3126010400247,0,1,225,11.716,2.844,0.507,0.042,0.609,0.227,0.164
10,4,1001.6829824279166,0,1,222,11.932,2.986,0.477,-0.055,0.608,0.234,0.158
11,1,1050.8465702363173,0,0,754,11.106,2.968,0.576,0.246,0.642,0.257,0.101
11,2,1207.8680394220778,0,0,733,11.093,2.939,0.584,0.217,0.645,0.254,0.101
11,3,1212.0164596405032,0,1,746,11.13,2.929,0.586,0.155,0.654,0.248,0.098
11,4,1549.7021958829973,0,1,716,11.054,2.972,0.574,0.135,0.655,0.247,0.098
12,1,671.590928333631,1,0,307,12.11,2.993,0.41,-0.322,0.668,0.248,0.085
12,2,1020.5726808810065,1,0,304,12.242,2.984,0.401,-0.31,0.668,0.24,0.092
12,3,949.35266952594,1,1,302,12.27,2.983,0.391,-0.313,0.652,0.258,0.089
12,4,1072.1288962695783,1,1,288,12.016,3.024,0.41,-0.278,0.656,0.257,0.087
13,1,788.4435353000122,0,0,437,11.513,3.002,0.506,-0.041,0.51,0.293,0.197
13,2,905.3349105514712,0,0,416,11.527,2.962,0.51,-0.019,0.529,0.281,0.19
13,3,1091.0242783343456,0,1,450,11.625,2.889,0.504,-0.073,0.54,0.284,0.176
13,4,1230.8575896442326,0,1,434,11.565,2.917,0.509,-0.084,0.539,0.279,0.182
14,1,1026.0558106773528,1,0,129,11.804,2.705,0.589,0.217,0.829,0.109,0.062
14,2,1310.7759645245296,1,0,141,11.297,2.752,0.617,0.16,0.83,0.092,0.078
14,3,1601.2523833852026,1,1,138,11.702,2.739,0.58,0.039,0.841,0.072,0.087
14,4,1477.660442923387,1,1,154,12.103,2.87,0.591,0.019,0.87,0.071,0.058
15,1,697.0947898583586,1,0,2284,12.657,2.953,0.398,-0.776,0.864,0.09,0.046
